id,concept,subconcept,book,page,notes
783,Return Oriented Programming (ROP),,5,158,
784,return-to-libc,,4,91,
785,return-to-libc,,4,112,
786,return-to-libc,,4,116,
787,return-to-libc,,4,120,
788,return-to-libc,,4,142,
789,return-to-libc,,4,161-162,
790,return-to-libc,,5,105-106,
791,Reverse Engineering,,1,12,Slide Defining/core concepts
792,Reverse Engineering,,1,166,
793,Reverse Engineering,,2,18,
794,Reverse Engineering,,2,30,
795,Reverse Engineering,,2,117,
796,Reverse Engineering,,2,129,
797,Reverse Engineering,,2,144,
798,Reverse Engineering,,3,167,
799,Reverse Engineering,,4,34,
800,Reverse Engineering,,4,92,
801,Reverse Engineering,,4,104,
802,Reverse Engineering,,4,168,
803,Reverse Engineering,,5,15,
804,Reverse Engineering,,5,159,
805,ROP Chain,,5,69,
806,ROP Chain,,5,136,
807,ROP Chain,,5,138,
808,ROP Chain,,5,154-155,
809,Ruby,,1,152,
810,Ruby,,3,100,
811,Ruby,,3,109,
812,Safe Unlinking,,5,35,
813,Safe Unlinking,,5,48,
814,Safe Unlinking,,5,50,
815,SafeSEH,,4,92,
816,SafeSEH,,5,36-37,
817,SafeSEH,,5,39-40,
818,SafeSEH,,5,42-43,
819,SafeSEH,,5,103,
820,SafeSEH,,5,124,
821,Savant,,3,121-122,
822,Savant,,3,139-140,
823,Scapy,,1,52-53,Send Custom TCP Traffic
824,Scapy,,1,59,Used with Sulley for EAP MD5 Fuzzing
825,Scapy,,1,98-99,MitM ARP Poisoning
828,Scapy,,1,162,
829,Scapy,,2,34-35,
830,Scapy,,3,42-43,
831,Scapy,,3,72-94,
832,Scapy,,3,158,
833,Scapy,,3,164,
834,Secure Desktop,,2,77,
835,SEHOP,,5,36-37,
836,SEHOP,,5,44,
837,SEHOP,,5,63,
838,SELinux,,2,74,
839,Shellcode,,2,115,
840,Shellcode,,2,129,
841,Shellcode,,2,136,
842,Shellcode,,3,46,
843,Shellcode,,4,57-59,
844,Shellcode,,4,62-63,
845,Shellcode,,4,65-67,
846,Shellcode,,4,70-72,
847,Shellcode,,4,75-78,
848,Shellcode,,4,80-85,
849,Shellcode,,4,88-89,
850,Shellcode,,4,92,
851,Shellcode,,4,97,
852,Shellcode,,4,107,
853,Shellcode,,4,112,
854,Shellcode,,4,114,
855,Shellcode,,4,116,
856,Shellcode,,4,122-124,
857,Shellcode,,4,127,
858,Shellcode,,4,133-134,
859,Shellcode,,4,140,
860,Shellcode,,4,163,
861,Shellcode,,5,14,
862,Shellcode,,5,24,
863,Shellcode,,5,26,
864,Shellcode,,5,38,
865,Shellcode,,5,64-65,
866,Shellcode,,5,71,
867,Shellcode,,5,96,
868,Shellcode,,5,99,
869,Shellcode,,5,105-106,
870,Shellcode,,5,109,
871,Shellcode,,5,114,
872,Shellcode,,5,119-120,
873,Shellcode,,5,122-123,
874,Shellcode,,5,125-126,
875,Shellcode,,5,129,
876,Shellcode,,5,143,
877,Simple Network Management Protocol (SNMP),,1,39,Configures access to VLANs
878,Simple Network Management Protocol (SNMP),,1,41,Attack the Captive Portal
880,Simple Network Management Protocol (SNMP),,2,142,
881,SiteKiosk,,2,77,
882,Smashing the Stack,,4,91,
883,Smashing the Stack,,4,127,
884,Smashing the Stack,,4,162,
885,sniff(),,2,35,
886,sniff(),,3,85-87,
887,Sniffer,,1,42,Cain finding HTTP addresses
891,Sniffer,,3,48,
892,Sniffer,,3,87,
895,sockets,,4,78,
896,sockets,,4,84,
897,sockets,,5,77,
898,Software Restriction Policy (SRP),,2,73,
899,Software Restriction Policy (SRP),,2,75-77,
900,Software Restriction Policy (SRP),,2,81,
901,Software Restriction Policy (SRP),,2,86,
902,Source Index (ESI/RSI),,4,11,
903,Spanning Tree (STP),,1,66,Attacked by Yersinia
905,Sslstrip,,1,145-150,
906,Sslstrip,,1,152-153,
907,Sslstrip,,1,159,
908,Stack Pivoting,,4,122,
909,Stack Pivoting,,5,135,
910,Stack Pivoting,,5,155,
911,Stack Pointer (ESP/RSP),,4,11,
912,Stack Pointer (ESP/RSP),,4,14,
913,Stream Cipher IV Collision,,2,56,
914,Stream Cipher IV Collision,,2,58,
915,Stream Cipher IV Collision,,2,68,
916,Stream ciphers,,2,7-8,
917,Stream ciphers,,2,17,
918,Stream ciphers,,2,54-55,
919,Structured Exception Handling (SEH),,1,14,Windows Construct
920,Structured Exception Handling (SEH),,4,19,
921,Structured Exception Handling (SEH),,4,81,
922,Structured Exception Handling (SEH),,4,86,
923,Structured Exception Handling (SEH),,5,4-5,
924,Structured Exception Handling (SEH),,5,8,
925,Structured Exception Handling (SEH),,5,23,
926,Structured Exception Handling (SEH),,5,25,
927,Structured Exception Handling (SEH),,5,27-28,
928,Structured Exception Handling (SEH),,5,32-33,
929,Structured Exception Handling (SEH),,5,36,
930,Structured Exception Handling (SEH),,5,39-40,
931,Structured Exception Handling (SEH),,5,42-44,
932,Structured Exception Handling (SEH),,5,90-92,
933,Structured Exception Handling (SEH),,5,96,
934,Structured Exception Handling (SEH),,5,98-100,
935,Structured Exception Handling (SEH),,5,103,
936,Structured Exception Handling (SEH),,5,124,
937,Structured Exception Handling (SEH),,5,135,
938,Sulley,,1,59,Fuzzing framework
939,Sulley,,3,116-117,
940,Sulley,,3,119,
941,Sulley,,3,121,
942,Sulley,,3,125-126,
943,Sulley,,3,131-132,
944,Swap,,2,49-51,
945,Swap,,3,74,
946,Taof,,3,73,
947,TCP Stack Fingerprinting,,1,50,Inline Captive Portal method reading stack frames to identify OS
948,tcpick,,2,32,
949,tcpick,,2,34-35,
950,tcpick,,3,154-160,
951,tcpick,,3,162,
952,TFTP,,3,83,
953,theC2Matrix Project,,1,18,Jorge Orchilles list of C2 platforms
954,Thread Environment Block (TEB),,5,25,
955,Thread Environment Block (TEB),,5,33,
956,Thread Information Block (TIB),,1,14,Windows Construct
957,Thread Information Block (TIB),,4,15,
958,Thread Information Block (TIB),,4,19,
959,Thread Information Block (TIB),,5,5,
960,Thread Information Block (TIB),,5,9,
961,Thread Information Block (TIB),,5,23,
962,Thread Information Block (TIB),,5,25,
963,Thread Information Block (TIB),,5,27-28,
964,Thread Information Block (TIB),,5,31,
965,Thread Information Block (TIB),,5,33,
966,Thread Information Block (TIB),,5,74,
967,Triple DES (3DES),,2,10,
968,Twofish,,2,10,
969,unlink(),,5,48-50,
970,User Account Control (UAC),,2,80,
971,User Account Control (UAC),,2,87,
972,User Account Control (UAC),,2,122,
973,User Account Control (UAC),,2,134-135,
974,User Impersonation,,1,44,Bypassing Captive Portals
975,User-Agent Impersonation,,1,49,Firefox User Agent Switcher plugin
976,vconfig,,1,70-71,Linux VLAN Config
978,Virtual Memory,,4,4,
979,Virtual Memory,,4,7,
980,Virtual Memory,,4,14,
981,Virtual Memory,,4,16-18,
982,Virtual Memory,,4,45,
983,Virtual Memory,,5,6,
984,Virtual Memory,,5,10,
985,Virtual Memory,,5,42,
986,Virtual Router Redundancy Protocol (VRRP),,1,109,"Like HSRP, but two+ routers share responsibility for Virtual IP Address"
987,VirtualProtect(),,5,71-72,
988,VirtualProtect(),,5,102,
989,VirtualProtect(),,5,123,
990,VirtualProtect(),,5,125-130,
991,VirtualProtect(),,5,132-134,
992,VirtualProtect(),,5,139,
993,VirtualProtect(),,5,141-146,
994,VirtualProtect(),,5,148-154,
995,VLAN,,1,38-39,Assignment w/ Captive Portal to segment
996,VLAN,,1,62-77,Attacks
999,VLAN Hopping,,1,62,
1000,VLAN Hopping,,1,65,DTP
1001,VLAN Hopping,,1,71,802.1Q Trunk
1002,VLAN Hopping,,1,73,Voice VLAN
1006,VLAN Manipulation,,1,62,
1007,Voice VLAN,,1,73-76,Voice VLAN Hop
1008,voiphopper,,1,76,Automates Voice VLAN Hop
1009,W^X,,4,163,
1010,W^X,,5,35,
1011,W^X,,5,38-39,
1012,Web Browser User-Agent Matching,,1,48,NAC
1013,WinAFL,,3,161,
1014,WinDBG,,2,139,
1015,WinDBG,,3,45,
1016,WinDBG,,4,37,
1017,WinDBG,,5,15,
1023,Wireshark,,3,76,
1024,Wireshark,,3,85,
1025,Wireshark,,3,110,
1026,Wireshark,,3,115,
1027,WOW64,,2,84,
1028,WOW64,,4,7,
1029,WOW64,,5,29,
1030,WOW64,,5,81,
1031,wrpcap(),,3,85,
1032,XD/ED Bit,,5,38,
1033,Yersinia,,1,66-69,"Multifunction network attack tool exploiting LAN protocols like STP, CDP, DTP, HSRP, DHCP, 802.1Q, VTP, ISL"
1035,Yersinia,,1,108-111,HSRP
1037,Yersinia,,1,152,
